content,sentimen
sangat puas,2
aplikasi bagus bisa menghemat biaya transaaksi,2
"mending pake aplikasi ono , dana mau upgrade premium aja lama , chat dengan robort ga jelas suruh nunggu 5 hari keburu belanda datang ahahaa",0
mantap,2
Sangat mudah untuk transaksi dan selalu aman,2
smart,2
bagus,2
"Saya tidak beli asuransi apa pun, tp auto diikutkan dalam pembayaran di dana. Kecewa.......",0
bagus,2
Mantap jiwa,2
baik,2
tolong diupdate nomer cs dana via whatsapp yg bisa dihubungi,1
sangat membantu,2
sangat membantu,2
Aplikasi yatim anj tulisannya jaringan Mulu,1
"Hati - hati gunakan aplikasi ini,,, aplikasi ini melakukan transaksi pengiriman uang tanpa sepengetahuan pemilik akun,, dan kalau tidak ada tindak lanjuti",1
"Buat transaksi kemana aja gampang, Buat transfer ke keluarga jdi mudah",2
sangat membantu,2
"Mohon dengan sangat kenapa aplikasi saya gbisa masuk terus dan harus vertikasi akun dana sedangkan dananya aja gbisa dibuka, dan kenapa harus kirim kode otp melalu SMS sedangkan nomor nyah udah non aktif",0
Ambyar,2
Good,2
aku puas dgn lyni dan,2
Eror mulu,0
memudahkan,2
sangat baik,2
sangat membatu,2
kok harus ngeunaka ktp blm cukup umur hdehh,0
mantap,2
mantap Joss bisa di andalkan,2
"alpikasi yg sangat baik,mudah dalam segala hal ,contoh nya top up gratis pembayaran listrik mudah",2
sangat membantu sekali ada dana,2
"Tolong, ini akun dana saya mau login perlu kode otp, tp gak ada kode otp masuk, udah brp kali coba, MOHON BANTUANNYA !!",0
"respon cs lama banget, keburu punya cucu gw",0
sangat baik,2
Ok,2
Sangat Membantu...Dan Proses Sangat Cepat,2
ok,0
👍,2
"sangat puas pakai apk DANA,mudah dan aman. terima kasih DANA🙏🏻",2
Kok sekaraang ngga ada fitur pulsanyaaaa😈😈😈,0
terima kasih sudah membantu,2
pakai dana transaksi apa aja jadinya gampang no ribet,0
sangat aman buat transaksi,2
baik,2
"Setiap pencairan uang dari Snack video ke dana ga pernah update, ga masuk kadang kadang. Ga bener dana . Uang nya dikemanain tuh. Sering hilang",0
DANA OK AKU SUKA.,1
Toppp bangett,2
"bagus,semoga lebih aman",2
"Ayo teman teman kita pindah ke gopay saja, GOPAY di jamin aman untuk keuangan, kalian jangan nyimpen uang di aplikasi DANA, nnti uang kalian hilang",0
aplikasi MALING terus yang maling orang dalamnya sendiri apa sudah miskin kah DANA sekarang sehingga para OD nya menjadi MALING sekarang,0
bagus,2
"Seharusnya saya memberi bintang 5 tetapi saya mengalami error dalam memasuki akun dana selalu munculnya ""akunmu sedang diproteksi""",0
Mau upgrade ke premium aja di persulit sudah scan ktp sudah verifikasi wajah tiba tiba muncul tidak bisa upgrade ke premium suruh nunggu 30 hari. Saya butuh uang saya yang ada di aplikasi DANA dan butuh untuk transaksi secepatnya,0
lancar jaya dan ga ada kendala.,1
Mantap,2
Thanks min aku udah bisa login lgi ternyata di suruh nunggu sampe 5 menit doang biar ada kode otp nya😅,1
Ga beli pulsa ga transfer delay mulu ampun nih apk,0
Krennnn ✨,1
Sangat membantu sekali aplikasi ini,2
top,2
Akun saya kena hack bagaimana min.. Skrg dana banyak yg nipu nya gampang pake di akun org asalkan jo dana nya ada,0
mantablah,2
Bagus tapi sayang GK bisa di download lgi,0
puas,2
"mantap sekali beli pulsa pakai dana ,yuk rame rame pakai dana, pokoknya top markotop",0
Tidak bisa login..tolong diperbaiki dan ini sangat mengganggu semua transaksi...trimakasih,0
Dana kenapa ya min kok uang malah ga masuk padahal sudah berhasil pengirimannya. Tolong di bantu min,0
Ok,2
bagus,2
Sangat membantu,2
enak banget,2
"Saldo hilang gak ada tanggung jawabnya sama sekali, terus alasannya transaksi sudah berhasil. Iya di riwayat transaksi emang ada, tapi saldonya kemana kok hilang? Tutup aja perusahaannya, daripada makin banyak korban yg kehilangan saldonya.",0
ok,0
"Maaf kenapa ya d aplikasi dana sekarang gk ada isi pulsa dan data tiba2 hilang gitu aja, bagaimana saya mau isi pulsa sama data",0
bagus banget,2
Ngk kecewa ake aplikasi DANA INI bagus dan proses cepat,0
sangat baik,2
mantap,2
bagus,2
"Bagus,ga ribet",2
bagusss,2
"Suka eror,dananya udh abis pulsanya ga masuk!",0
"Mohon Bantuannya, Saya tidak bisa Login ke Akun Dana di HP Baru Saya dikarenakan meminta terus verifikasi Aktivitas Di Perangkat HP yang Lama saya padahal Aplikasi Dana Sudah diuninstal di HP tersebut. Mohon ditambahkan Fitur metode lain seperti Kode OTP sms dan Whatsapp, Verifikasi Wajah, jangan Hanya Menggunakan Verifikasi Aktivitas,, Bisa Saja HP Lama itu Hilang atau Karena Hal Lainnya",0
baru pakai top up bisa.mau top up berikutnya muncul tulisan pastikan negara anda bla.bla.bla?,1
"untuk saat ini blum ada kendala ,thanks DANA",0
oke,2
Tingkatkan lagi ya. Tks,2
Makin kacau aplikasi nya uang gw ilang dikarenakan akun tidak bisa login padahal nomer handphone masih aktif yang mau pake ni aplikasi jangan lah jangan sampe nyesel nantinya,0
Aneh gak bisa ke dana premium,0
Sempurna,2
membantu,2
Bagus sekali,2
Susah untuk masuk lupa pin,0
Kalau bikin aplikasi yang bener ya jangan saldo orang di makan tanpa sebab,1
"mending gk usah pake premium""",0
sangat membantu,2
emang boleh semudah ini. pokoke DANA keren,2
enak aja,2
itil,0
My favorite e-wallet apps,2
cukup indah,2
mantap,2
"Saya sangat tidak menyarankan untuk download aplikasi dana dan tidak menyarankan untuk menyimpan uang di dana karena sudah banyak korban uang nya yg hilang dan dana tidak pernah mau bertanggung jawab , keamanan dana dan pelayanan dana sangat buruk .",0
Sayank love,2
ok,0
sangat mudah digunakan,2
bagus saya kasih 5,2
top bagus dan cepat serta tdk ribet.,0
Lebih lancar and flexible,2
bagus,2
Sangat puas,2
all nya bagus,2
Good,2
👍👍👍👍👍,1
bagus lebih mudah dan praktis buat segala transaksi,2
Hati hati pakai dana saldo saya hilang begitu aja pihak dana dengan enteng menjawab. Saya ikutbprihatin tapi saldo tidak di kembalikan. Yang bisa lakukan transaksi ilegal berarti pihak dana berarti yang mencuri saldo saya pihak dana sendri lah,0
Cukup baik,2
lemot dan tidak seresponsif dulu,0
Kenapa g bisa ke buka terus tolong perbaiki secepat y,1
sejauh ini saya suka pakai Dana,2
Coba dulu,0
lncar aman sntaii,2
bagus,2
bagus,2
"Kembalikan uang ku, apa apknya minta di update udh di update tetap gak bisa ke buka",1
Oke,0
selalu membantu,2
lancara dan bagus aman,2
Gogle,2
baik,2
Sistem keamanan nya tidak aman sama sekali saya sudah 2 kali kehilangan uang di dana ini karena sistem nya di bobol secara paksa,0
Enak cpt,0
Pay later,0
Sangat Terimakasih😇🙏,2
"Sistem keamanan dana kek anjinggg... Knp saldo saya isi tiba"" Ada yg melakukan transaksi tf ke bank,isi pulsa tanpa sepengetahuan saya. Apakah ini ada hubungannya dengan oknum pegawai dana dengan mencari keuntungan?? Katanya diawasi BI kok keamanan aja masih bisa di retas orang. Mendingan hapus ajaa ini aplikasi. Merugikan banyak orang. Kecewa sekali sama aplikasi dana.",0
bagus,2
"terima kasih dana,dengan apk dana jadi mudah segala urusan...",2
baik,2
bagusss,2
Oke,0
"Jangan pakai aplikasi ini tidak bertanggung jawab apabila ada uang gagal transfer, jadi uang saya hilang, mengecewakan",0
good,0
"Aplikasi simpan uang yang sangat jelek. Uang di saldo tiba2 hilang. Pengamanannya buruk, masih bisa di hack.",0
mantappp,2
"Mau minta bantuan upgrade malah uang saya ke sedot 1,5jt dia bilang jika saya isi saldo lagi saldo saya akan muncul otomatis nyatanya saldo saya ga akan muncul lagi, ini permainan orang dalam kayaknya bukan sembarang orang. Saya kecewa",0
sanggar membantu dgn adanya dana karna lewat HP kita bisa downlod apk tanpa harus ke bank makasihh dana,1
kacau mau ganti no aja susah selalu ada tulisan akun anda sedang di proteksi padhal akun saya itu jelas² mohon di perbaiki sesegera mungkin min,0
Kenapa sih Proses upgrade ke dana premium rumit....... dikarenakan KTP buram tidak jelas........,0
slmt hr imlek,1
saya belum pernah menggunakan KTP saya untuk update ke dana premium tapi kok keterangan nya saya pernah menggunakan KTP saya untuk dana premium,1
"Dana parah banyak penipuan nya.. Kemaren saya dm akun resmi dana buat minta bantuan eh gak lama mlh akun fake yg dm ngirim link² gitu terus gak tau nya mlh saldo saya keambil 1,5jt.. Parah sih, permainan org dalam ini,, banyak mafia² nya di dana",0
good,0
Keamanan kurang ..saldo saya habis di bobol peretas padahal sudah pake pengaman di akun dananya malah sekarang bisa di gunakan orang lain..,0
saya suk,0
Sangat membantu dan mudah di gunakan,2
semakin jos.pokok nya😄😄 memudahkan ku untuk transaksi,2
"gajadi bintang 5,gabisa login dana, csnya ga membantu suruh verifikasi tpi gaada notif klo gaada notif suruh cek kotak masuk sedangkan kotak masuk adanya ketika sudah login, diliat settingan hpnya pun notif nyala, mana masih ada saldonya di dana tpi gabisa dibuka",1
Kenapa aplikasih dana tidak tampil di layar,0
Saya gak bisa mem buka aplikasi Dana,1
Mantap apk dana sangat membantu,2
sangat puas,2
sangat membantu,2
siip,0
Sering nge bug ketika buka apk nya,0
"Saya mau tanya, apakah aplikasi ini bisa menerima pengiriman uang secara Internasional atau dari luar negara manapun, diseluruh dunia apa tidak ya?",1
perfect,2
mantap,2
Bagus,2
Sangat bagus,2
Top,2
"sangat bagus, semua transaksi jadi mudah dan murah, tp untuk layanan bli token agak mahal adminnya daripada di indomaret dan alfamart",2
"dana makin kesini makin kesana, segala ada verifikasi yg ribet pula. saya mau masukin akun dana di hp yg baru harus balik ke hp yg lama buat verifikasi, pas dah balik di hp lama malah di suruh verifikasi lagi. jadi cara masuk ke akun dana nya gimn ini!!",0
"Dana saya d kuras habis..buat laporan ke ga ada tanggapan...mohon pihak dana ada pertanggung jawaban atas semuah yang terjadi, bukan hanya saya mungkin ratusan atau ribuan orang banyak mengalami hal seperti saya...dana sudah tidak amanah",0
bagus,2
ajib,0
mantap,2
Bagus,2
mantap dan nyaman,2
ok,0
Bantu nomer telpon saya sudah tidak aktif lagi mau masuk tidak bisa karena tidak nerima kode,0
masih pemula menggunakan aplikasi ini,1
Best,2
cukup praktis simpel mantap aplikasi dana ini,2
Makin kesini makin gajelas dengan keamanan Aplikasi ini.. SALDO SAYA HILANG dan Pikah DANA Tidak Mau Bertanggung Jawab! Sudah Banyak Yang mengalami lebih baik Jangan Menggunakan Aplikasi ini Lagi,0
mantap,2
👍,2
Butuh dana,2
wort banget lah,0
setiap donload di hape saya kok kembali trus aplikasi nya tolong min apa masalah nya?,0
Baguss banget,2
sangat membantu dan mempermudah setiap transaksi,2
sangat bagus,2
Bagus,2
danaku,2
"Saya sebagai penguna dana kecewa Saldo hilang saya tiba-tiba,dan sudah terjadi yang ke tiga kalinya,adanya transaksi dilakukan orang lain.untuk anggota lain jangan pakek aplikasi ini lagi yaa.",0
makin GAK GENAH APLIKASI DANA. LEMOT LELET TAIK BABI SAMPAI SALAH KIRIM,1
mantap.top.top ok puya dan aman,2
bagus,2
"Min saya baru saja memindahkan akun premium ke no lain, tapi akun saya yang premium lama kok jadi ga bisa login. Alasanya akun di proteksi itu sampai jangka waktu berapa lama karna saya ingin pake akun untuk nabung dan satu nya transaksi",0
kren,2
mntap,2
"tolong di bantu,, masi blum bisa login juga nih",1
sangat bermanfaat,2
mantap lah,2
Susah buat verifikasi,0
Bos saya uninstal dana pas download lagi terus kode verifikasinya gamasuk masuk lewat SMS,1
Sudah di download tapi tidak bisa di upgred malah erorr,0
sangat membantu sekali..,2
terimakasih udah bisa membantu kami,2
bagus dan mudah,2
Semoga,2
Dana playlater,2
Kenapa aplikasi gak bisa masuk eheheh malah kepental,0
Kurang aman...saldo saya ilang sia sia...pdhl kan pake pin...masih ke bobol juga,0
Sayaa ada fitur dana cicil tapi gk bisa digunakan selalu saldo dana cicil tidak tersediaa tolongg ini jelassin fiturnyaa kenapaa yaa gk bisa digunakan padahal keterangannya bisa digunakan,0
sangat baik,2
Bagus,2
Tolong dong bank Bjb di ada in min,0
Top,2
Banyak eror nya,0
Semakin ok,2
Gimana ini dana paylater di akun ku ko ga pernah muncul muncul ya padahal udah lebih dari 1 tahun sering buat transaksi tapi kenapa gak muncul muncul sedangkan punya temen saya udah muncul padahal yang bikin akun dana nya lebih lama saya tapi ko ga muncul muncul,0
Putri,2
Siip,0
maksih dana,2
Saya tidak bisa log in,0
Baik tapi paylaternya gak ada.,0
Bagus sekali,2
puas,2
okey,0
Sangat baik,2
makin bagus,2
Bagus,2
mantap,2
sangat membantuku,2
"kenapa saya tidak bisa masuk lagi,,slalu diminta kode OTP terus,,mana kode kagak dikirim kirim,,saldo saya yang di dalam gimana donk,,aneh nie apk",0
Aplikasi yg mudah untuk dipahami dan sangat bermanfaat untuk kebutuhan sehari-hari,2
okeh,0
"Kecewa akun saya di blok tiba""",0
Ok,2
sangat puas,2
saya ucapkan ok buat dana,2
Mntap,2
Dana saya kena hack di bajak orang,0
"Dana sekarang bikin emosi , sering pending !! Udah gk aman",0
Ter,2
Sangat bagus sekali.,2
mantap,2
bagus,2
bagus mantap deh,2
baik,2
sangat membantu 👍,2
bagus,2
keren,2
Saldo sering hilang sendiri padahal gak ada transaksi dan nggak digunain,0
"Jangan download APLIKASI DANA saya kehilangan saldo disana 400k walaupun ngga banyak tapi apk ini udah ngga aman,mana ngga di ganti lagi respon jlk",0
DANA tetap aman,2
mudah,2
D sruh upgrade Dana saya tiba2 tak bisa d gunakan .,1
sangat cepat,2
Saya gak bisa login karena nomor hilang,1
mff saya lupa pin bukanya saya minta pin agar bisa di buka,1
sangat membantu,2
Tidak bisa loging dana,1
good,0
prosesnya cepat sekali,2
mantap👍,2
Sangat cocok untuk saya,2
"terbaik aplikasi dana, sangat membantu",2
mantap,2
bagus,2
puas,2
top markotop,2
"Awal Tahun 2024 tepatnya di bulan Januari Dana cicil tiba-tiba tidal bisa di gunakan, dan Dana Paylater juga hilang. Tolong untuk akun saya di perbaiki lagi.",0
Aplikasi dana tida aman buktinya masih banyak yng nipu mengatas namakan dana bukannya itu tida aman,0
Tobat make ni aplikasi Baru top up lsg hilang saldo Ada transaksi yang tidak di lakukan oleh saya Saya ingin meminta kembalikan saldo dari transaksi yang tidak saya lakukan,1
keren,2
Aplikasi yang sangat baik,2
good,0
lumayan,2
Sakit hati gw gk bisa 🤬otp Lagi,0
Manfaat juga,2
Dana sya gk bisa di buka,1
Puas,2
kenapa apl dana skrg sering lag ya? semenjak update tolong perbaiki,1
Mencart,2
udah downlod ulang masih gak bisa masuk aliaz mental,1
👍👍👍👍👍👍👍😎😎😎😎😎BagusMbatu Ayo🥰🥰🥰🥰🥰,2
"Admin dana ad no wa gak si,chat diana selalu gak memberi solusi,email juga sama aj",0
Instal dana koq ada virusnya,1
matap,2
Dompet semua kartu,1
Mantap memudah kan bertenssi lebih gampang✌️✌️,1
"Bagus semua kok tapi kalau top up di batasin ya harusnya geratis biar banyak peminatnya ,maff minta berlebihan",0
"Kok jadi gak aman tf dana, orang salah kirim ke no yg tidak terdaftar, malah hilang Kan harusnya refund otomatis Kecuali salah ngirim ke no yg terdaftar, baru gak balik lagi, ini udah gak bener Cs di hubungi gak bisa",0
baik,2
"Saya menduga kalau pihak dana sudah mencuri saldo dana nasabah, Krena ketika kita ada keluhan atau masalah kita selalu di suruh tunggu dan chat sama boot,... Emangnya pihak dana tidak mau tanggung jawab atas kejadian ini keren karena kejadian ini bukan saya aja tapi banyak teman² yg lain yg serupa kejadian kayak saya, dan sudah setahun berarti ini emang di sengaja kadang,... Degan alasan pihak dana sudah di bekalin degan izin dari OJK, tapi tetap saja keluhan ini slalu ada terjadinya kehilangan",0
mantap....,2
Dana saya kok susah di bukak,0
mantap,2
"Beri bintang satu dulu,karena untuk upgrade ke premium aja dipersulit",0
"Kecewa Berat! Dengan Mudah Nya Org Lain Masuk Ke Akun Dana Saya, Sampai uang Yg Saya Simpan Kebobolan",0
sangat bagus,2
"bintang 1 lah, tiba2 ga bisa login dana.. pas login saldo udah 0, dah buat laporan ga ada pertanggung jawaban juga buat tarik saldo",0
masak habis buat transaksi akun dana kok gk bisa d buka.. pin salah terus... apa akun dana saya d blokur,0
Lama sekali proses ke premium,0
Knpa sya gk bisa krim lewat Qris....?,1
Respon lama kalo saldo d dana tiba2ilang. Balikin saldo gw taiiii,1
mantap,2
good,0
oke,2
Kanpa saya tidak bisa login ke akun saya selalu ada tulisan lagi di perbaiki mohon di bls kak soal nya ada data penting di sana kak,0
Belum satu tahun menggunakan udah jadi korban.Aplikasi gampang diretas saya baru saja kehilangan saldo 1.5juta oleh pihak tidak bertanggung jawab yang mengatasnamakan dana. Kalau tidak memperbaiki sistem pasti ratingnya akan terus turun dan ditinggalkan,0
Susah login,0
GK bisa kirim knp ya,1
Pindah akun premium sulit sekali... Sekarang nomor yang di premium sudah hilang sedangkan KTP di nomor yang hilang nah sekarang mau pindah premium sulit nya bukan main udah 4 kali coba gagal terus...,0
saya berikan 5 bintang karna proses pengembalian saldo saya cepat.. pertahankan dan lebih baik lagi..terimakasih,2
mantab,2
"Aman,Terpercaya,Amanah & Berkah,.",2
Baik,2
Saya merasa puas dengan aplikasi ini,2
Perasaan dana makin ancur sistem keamanan nya,0
Sudah kirim data buat upgrade ke premium tapi tetap belum premium,1
Sangat membantu untuk kalangan bawah,2
"Kenapa saya top up ngga masuk2,padahal ada riwayat ya masuk,tapi masih aja kosong nominal aneh..tolong di perbaiki ...",0
Baru download.. dan ketika upgrade premium selalu gagal..,2
Saya selalu dapat kendala.saat transaksi sudah seminggu tidak bisa transakasi,2
"APLIKASI E-WALLET PALING LEMOT, MAU TRANSFER SAJA RIBET,LOADING LAMA.HARUS BERKALI KALI KELUAR MASUK APLIKASI AGAR TRANSFER BERHASIL. PADAHAL DANA SELALU ADA PEMBARUAN, TAPI TIDAK ADA PERUBAHAN SAMA SEKALI,DI ULASAN BANYAK USER DANA KOMPLAIN DAN DANA TIDAK MEMPERBAIKI KOMPLAIN TERSEBUT. INI TERAKHIR SAYA PAKAI DANA KARENA SUDAH HILANG KESABARAN SAYA, SEKARANG MENDING INSTAL GOPAY",1
bagus,2
uhh,0
Asli kapok pake dana,0
bgus,0
"Di suruh verifikasi lewat notif tapi notif nya ga muncul muncul, tolong di perbaiki ya dana",1
terbaik,2
kok akun dana gua nggak bisa di kasih masuk padahal di dalam lagi banyak saldo..semenjak update nya dana...kok dana makin ngelek..kadang beli pulsa selalu gagal...sekarang akun gua yang tidak bisa di kasih masuk,0
good,0
Mantap,2
baik,2
Tolong kebalikan uang saya kenapa tabungan saya tibatiba hilang,1
sangat membantu,2
sangat bagus dn berguna,2
good,0
Tidak bisa ke buka di hp oopo a37f,1
2x uang hilang di dana gc balik lg 650rb jangan nyimpen uang di dana gc aman,1
Aplikasi Dana bisa dg mudah mempergunakan nya Terimakasih,2
thank uuu love bngt,1
"bagamana ini, ko top up dana, laporan succes, tapi ko gak masuk si??",1
bagus sekali,2
mantap,2
mudah dan bagus,2
"aplikasi dana memng sngat memuas kn,pngriman dn pmbyaran sngt simpel dn cepat.dana memang ok",2
Gila aja saldo dan tiba tiba hilang padahal ga merasa melakukan transaksi apapu. Di komplain tapi gak ada repon sama sekali,0
Jangan di buat pitur minta kode otp mulu dong kami yang nomer tlponya udah hangus kesulitan untuk membuka dana padahal akunya masih bnyak uang,0
baik,2
sangat baik,2
membuat banget,2
Saya menyukai aplikasi ini,2
"Sudah lama pakai apk ini tpi dana cicil tidak muncul"" juga",1
duit,2
sangat membantu saya,2
bagus apknya jadi lancar buat ngapain ajh,2
sangat bagus dan aman,2
hebat,2
keren,2
bagus,2
"Gagal login mulu ga bisa login, ga muncul notif verivikasi nya gimana si mau login aja susah banget",0
nice,0
mantap,2
apk pangling bagus untuk menabung dan investasi,2
👍👍👍,1
asik,2
"sangat sangat membantu buat nasaba,",2
Sangat baik,2
bagus,2
sangat baik,2
"Kenapa verifikasi wajah tidak muncul? Kode OTP tidak bisa d terima karena nomor sudah hilang. Sulit login ke aplikasi jadinya, padahal sebelumnya sudah gampang pake verifikasi wajah",0
mantaaaaf,2
Mantap,2
Setiap ada saldo nya pasti akun keblokir Tlong perbaikin kaya dulu lagi kalo udah nanti saya kasi bintang 5,1
top,2
sangat mudah buat menyimpan uang guna transaksi on line,2
Syakur,2
mantap pokoknya,2
Ko g bsa sinkron ya?,1
Mantap,2
mantap,2
Sangat berguna,2
"Apa tdak ada opsi lain utk masuk selain verivikasi yg d kirim ke aplikasi?? Gara"" prgkat awal kehapus data dan coba masuk lewat perangkat baru, akhirnya malah g bisa masuk d ke duanya",0
"aplikasi good, semakin hari semakin ada perubahan, mudah mudahan platform dana kedepannya lebih mumpuni lagi, dari segi keamanan ,pelayanan, dan lain lain",2
kenapa gak bisa d bukak kak apk dana,0
"Kecewa brutal sama dana, aplikasinya sering mogok bukan karena versi hardware bukan karena sinyal. Tapi karena servernya lemot!!!!! Sekarang saldo saya nyangkut. KEMBALIKAN UANG SAYA Parah dana, klo lu ngatain hp gua perlu update ini udh update paling terbaru",0
bagus,2
terbaik,2
Tidak bisa buka dana,0
mantap sangat memuaskan,2
mantul,2
Lemot sekali,0
"Kecewa saya, sudah banyak kirim uang tidak juga dapat poin dana",0
baik bagus,2
Aplikasi kontollll udahhh sekalli ke hack akun saya ehh d pake lagi masihhh tete d jebolll katanya transak harus vermukk tapi tetepp aja biasa d hack atauu d bajakkk kontollll emang ni aplikasiiiii ... ..selalu ada trasaksi telahh berhasilll tampa vermukk atau masukan pinnn kontolllllllll,0
sangat praktis begitu mudah menggunakannya semua keuangan bisa terselesaikan mkasih dana,2
mantap....,2
"Awas yang suka kirim"" Lewat dana meski kita salah transfer ke no yang ta terdaftar di dana mau di Indonesia sama sekali pasti uang kalian hangus tidak ada pertanggung jawaban sekali dari pihak dana sendiri. Meski saya komplain terus masih di suruh hubungi no yang ga aktif sama sekali. Emang kesalahan saya sendiri tp tida ada usaha sekali dari pihak dana sendiri dan enak kemana larinya uang yang saya kirim ke no yang tak terdaftar sama sekali selain menjadi keuntungan pihak dana sendiri",0
bagusss,2
"GMNASIH? MAU TF DUIT KE SHOPEEPAY AJA GABISA BISA DENGAN ALASANYA ""TERJADI KESALAHAN DENGAN SISTEM KAMI, SILAHKAN COBA LAGI NANTI"" HDUH..TOLONG DIPERBAIKI.",1
"Pengaduan saya sudah 2 minggu kaga ada kelanjutan nya, gimana sih team CS nya, bisa kerja kaga sih?",0
"Jangan pernah nyimpen uang di sini , kalo perlu hapuss aja .. aplikasi gak amaannn , entah dia yang kerja sama si penipu apa dari pihak dia nya juga , tiba tiba saldo TERPOTONG OTOMATIS di jam 2 pagi , posisinya saya saat tertidur dan aneh nya ada transaksi 🙄 itu pas saya liat pagi pagi sudah hilang uang saya , diana gak bisa ngebantu apalagi email .. saya dateng langsung ke kantor pusat tetep aja .. tidak mau bertanggung jawabb .. buang aja aplikasi ini 😭😭😡😡",0
Sangat bagus,2
Sangat membantu,2
Saldo saya tidak bertambah.mohon bantuan,2
good,0
cukup baik,2
sangat memuaskan,2
sangat mudah digunakan,2
"Dana apaan dh, saldo gw ada tiba"" sesi berakhir ,trs pas gw mausin kode otp dari SMS&wa kgk ada masuk sama sekali trs malah kgk bisa di masuin akun gw ,keliatan bngt mo mkn duit org",0
"Ini kenapa sya tidak bisa login ke akun dana saya. Why ada yang bisa bantu, dan masih tetap susah log in kak, kenapa gak verifikasi wajah saja ini verifikasi lewat nomor gak ada pesan masuk",0
Keseringan suruh update,1
sempurna,2
Ok,2
Kenapa dana ga bisa di instal pdhal udah menginstal masa harus diinstal maning bae parahhhh,0
"Pihak Dana , tolong saya kesusahan untuk login padahal saya menggunakan nomor yang terdaftar dan aktif , di karenakan saya ganti hanfon dan tidak bisa melanjutkan login , yang saya dapati saya harus verivikasi di hanfon lama , padahal hanfon yang lama sudah tidak saya gunakan , tolong perbaiki masalah keamanan seperti ini.",0
Ok,2
Ok,2
bagus dan sangat membantu,2
bagusa,2
sangat baik,2
mantaap,2
mencoba,2
"Kena tipu yang mengatas namakan pihak dana, ilang uang saya 1.200.000 di dompet dana",0
oke,2
Lupa pin,2
"MAU TF JARINGAN TERUS BERMASALAH! Edit. MAU BUAT DAGET PUN GABISA! udah nyoba berkali kali, dan nunggu selama 3 bulan lebih tetap gabisa.",0
oke bagus,2
"danaaa, akun dana ku lupa pinn. gimana cara ngatasin nya",1
Akun saya kenapa tidak bisa ditingkatkan ke versi premium?,0
"Mau log in susah , ga bisa .. tidak ada pilihan lain chat juga ga bisa ..solusinya gmna ya",0
Lama download 🤣,1
Gaga,2
SLAMET HARiA DEA♡ SUCi RAMA DANi♡​᭄,1
Masih mencoba,2
tidak bisa verifikasi wajah.. padahal saat mendaftar identitas yang dipakai semua asli cuma saya dulu mendaftar di umur 17 tahun dan sekarang udah masuk 24 jd muka sedikit berbeda dari umur sebelumnya tpi kenapa verifikasinya sangat susah anjjjjjjjjjj,0
good,0
Dengan menggunakan aplikasi Dana sangat membantu sy dalam berbisnis dan mudah di pahami,2
menarik,2
sangat baik,2
buruk,0
mantap,2
bagus puas,2
sangat puas,2
mantap,2
mantappp,2
trima kasih lancar bertranssksinya,2
mantapppp x,2
ada masalah login,0
sangat ber arti,2
membantu,2
bagus,2
Woy dana saya ga bisa di buka tolong d respon sekarang,1
"Semakin di update ko semakin buruk, Kaka kenapa ko tiba-tiba saldo saya hilang 300.0000 menghilang tiba-tiba di transfer gimana ini solusinya tolong bantuannya sudah bantu Diana tapi tetep sama aja Kaka ☺️",0
"Tolong dong ini ga ada kejelasan sama sekali udah seminggu lebih, saya udah abis pulsa banyak ini buat nelponin kalian, ga ada kemajuan apa-apa. Katanya mau dikirim otp ke nomor yang baru, sampe sekarang ga ada otp apa-apa",0
Cara login tapi nomor hilang gimana min?,0
"UANG SAYA HILANG SEBANYAK 2 KALI UDAH CHAT KE DIANA RESPON SEADANYA DOANG DAN AKAN DI PROSES SELAMA SEMINGGU, LAMA BANGET, DAN AKHIRNYA TETAP SAJAA TIDAK KEMBALI. BINTANG SATU APLIKASI GAJELAS",1
mantap,2
Kenapa dana saya nggak bisa di bukak,0
mntap,2
Smngt bagusss,2
"Error ini ,gimana si mana udah isi lagi",0
sangat mudah,2
sangat membantu sekali👍👍👍👍👍👍👍,2
memudahkan transaksi tf,2
sangat membantu untuk segala transaksi.top aplikasinya,2
good,0
mudahan pake aplikasi dana bagus,2
mantap,2
sangat senang🥰🥰🥰,2
bagus,2
Manatap sangat membatu,2
Dana memang joss,0
sangat bagus,2
bagus,2
nice,0
sangat baik,2
sangat membantu,2
"Iddddiiih kudu dm, gak ada guna juga hubungin juga kalo solusi nya gak bertanggung jawab!!!!!",0
lumayn,2
"Uang tiba"" Transfer tampa ijin",1
sangat membantu,2
sudah bisa ok,1
Mudah dan praktis,2
sangata nyaman di pakai dan simple,2
Kenapa saya tak bisa instal aplikasi ini,0
Pay Later Kapan,1
Bagus ...,2
"Uda isi saldo mana gede lagi tp belom upgrade ke premium ga bisa d pke,cbain dftr ke premium gila lama bgt proses nya,gmna nih dana buat pertnggung jwban nya? Isi saldo bisa buat upgrade ke premium susah bgt.!",0
"Makin jelek, padahal sudh pake sinyal terbaik",0
Pokoknya joss apk nya,0
Saya menginstal dana dah 5x ga bisa dibuka sih,1
Jos,2
asik,2
recomen,2
oke,2
Aplikasi dana sangat baik dan sangat mudah untuk dilakukan transaksi,2
mantap,2
"Kenapa login pake viz di hilangkan sih kan saya jadi g bisa masuk karena nmor Saya sudah hilang,tolong di perbaiki dong soalnya saya memiliki saldo d akun tersebut tapi g bisa login",0
uapik,0
bagus sangat membantu terimakasi,2
"dengan dana mau kirim uang jadi serba mudah,pokoknya mantap",2
lemot,0
